STATION,STNAME,SHORTNAME,ZONE,EASTING,NORTHING,GRDATUM,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVACC,FIELD,LAB,ACTIVE,COMMENCED,CEASED,REGION,CATCHAREA
-------,------,---------,----,-------,--------,-------,--------,---------,-------,------,----,-------,-----,---,------,---------,------,------,---------
221001,GENOA RIVER @ ROCKTON,GENOA R @ ROCKTON,55,705825.000,5887218.000,UTM,-37.138654990,149.317296100,WGS84,9,429.000,1,Y,Y,0,1993-05-26,NULL,221,125.60000
221200,BEMM RIVER @ CLUB TERRACE,BEMM R @ TERRACE,55,670900.300,5843294.100,NULL,-37.541388890,148.934444400,NULL,1,.000,1,N,N,0,1922-04-23,1961-10-25,221,409.00000
221201,CANN RIVER (WEST BRANCH) @ WEERAGUA,CANN (WB) @ WEERAGUA,55,694682.000,5861473.000,UTM,-37.372935590,149.198660600,WGS84,9,169.000,1,Y,Y,1,1922-04-22,NULL,221,311.00000
221202,GENOA RIVER @ WANGARABELL,GENOA @ WANGARABELL,55,720154.845,5859838.207,MGA94,-37.382091000,149.486607000,GDA94,1,.000,1,N,N,1,1922-01-01,1974-01-23,221,780.00000
221203,BETKA RIVER @ MALLACOOTA,BETKA @ MALLACOOTA,55,737895.100,5836091.400,NULL,-37.591388890,149.694444400,NULL,1,.000,1,N,N,0,1966-01-26,1972-07-24,221,117.00000
221204,THURRA RIVER @ POINT HICKS,THURRA @ POINT HICKS,55,699200.000,5822200.000,AMG66,-37.725690940,149.260310900,AGD66,1,.000,1,N,N,0,1966-05-17,1983-03-07,221,345.00000
221205,BEMM RIVER @ BEMM RIVER,BEMM @ BEMM,55,671893.800,5821410.800,NULL,-37.738333330,148.950833300,NULL,1,.000,1,N,N,0,1966-06-28,1975-06-05,221,935.00000
221206,CANN RIVER @ NOORINBEE,CANN @ NOORINBEE,55,694397.000,5854712.400,NULL,-37.433888890,149.197222200,NULL,1,.000,1,N,N,0,1967-05-31,1971-02-03,221,541.00000
221207,ERRINUNDRA RIVER @ ERRINUNDRA,ERRINUNDRA @ ERRINUN,55,669418.000,5853798.000,UTM,-37.447037190,148.915255600,WGS84,9,168.000,1,n,n,1,1968-02-20,NULL,221,162.00000
221208,WINGAN RIVER @ WINGAN INLET NATIONAL PARK,WINGAN @WINGAN INLET,55,719710.300,5825779.500,UTM,-37.688768000,149.491767270,WGS84,9,50.000,1,Y,Y,1,1979-06-22,NULL,221,420.00000
221209,CANN RIVER (EAST BRANCH) @ WEERAGUA,CANN (EBR) WEERAGUA,55,695470.000,5863398.000,UTM,-37.355431110,149.207045800,WGS84,9,202.000,1,Y,N,1,1972-10-23,NULL,221,154.00000
221210,GENOA RIVER @ THE GORGE,GENOA @ GORGE,55,723046.000,5856007.000,UTM,-37.415770780,149.520375700,WGS84,9,102.000,1,Y,Y,1,1972-08-22,NULL,221,837.00000
221211,COMBIENBAR RIVER @ COMBIENBAR,COMBIENBAR @ COMB.,55,675439.000,5854433.000,UTM,-37.440194490,148.983134800,WGS84,9,189.000,1,Y,Y,1,1974-08-12,NULL,221,179.00000
221212,BEMM RIVER @ PRINCES HIGHWAY,BEMM @ PRINCES HWY,55,667855.000,5836059.000,UTM,-37.607126190,148.901648700,WGS84,9,82.000,1,Y,Y,1,1975-04-30,NULL,221,725.00000
221213,GOOLENGOOK RIVER @ D/S OF ARTE RIVER JUNCTION,GOOLENGOOK @ D/S ART,55,663700.000,5846900.000,NULL,-37.510210640,148.852179200,NULL,1,.000,1,N,N,0,1978-05-01,1986-12-18,221,171.00000
221214,CANN RIVER @ D/S OF CANN RIVER,CANN R @ D.ST. CANN,55,688655.000,5836283.000,UTM,-37.601077230,149.137094600,WGS84,9,97.000,1,N,N,0,1979-07-26,2014-06-30,221,675.00000
221216,GENOA RIVER @ D/S OF BIG FLAT CREEK JUNCTION,GENOA @ D/S BIG FLAT,55,722308.700,5858209.900,NULL,-37.396111110,149.511388900,NULL,1,.000,1,N,N,0,1966-04-02,1970-12-10,221,829.00000
221217,GENOA RIVER @ GIPSY POINT (WOOD'S JETTY),GENOA @ GIPSY POINT,55,736900.000,5848600.000,NULL,-37.479022400,149.679150290,NULL,1,.000,1,N,N,0,1992-07-08,1998-11-03,221,.00000
221218,BETKA RIVER @ MINERS TRACK,BETKA R @ MINERS TRK,55,732688.000,5835801.000,UTM,-37.595335240,149.635618190,WGS84,1,.000,1,N,N,1,1996-01-16,NULL,221,.00000
221222,HENSLEIGH CREEK U/S COMBIENBAR,HENSLEIGH CK,55,679158.000,5863650.000,UTM,-37.356453660,149.022916220,WGS84,9,275.000,9,N,N,0,2006-05-18,2010-11-17,221,.00000
221223,COMBIENBAR RIVER @ TIGER SNAKE CK,COMBIENBAR @ TIGER,55,680158.000,5864336.000,UTM,-37.350080460,149.034034170,WGS84,9,272.000,9,N,N,0,2006-05-18,2010-11-17,221,.00000
221224,CANN RIVER U/S CANN RIVER OFFTAKE,CANN RV U/S O/TAKE,55,690544.000,5843171.000,UTM,-37.538646840,149.156689000,WGS84,NULL,.000,NULL,y,N,1,2009-03-11,NULL,221,.00000
221225,BEMM RIVER U/S OF PUMPHOUSE,BEMM R U/S PUMPHOUSE,55,671929.000,5822377.000,UTM,-37.729623050,148.951004300,WGS84,NULL,.000,NULL,N,N,1,2009-09-23,NULL,221,.00000
221601,ELUSIVE LAKE @ WINGEN INLET TRACK,NULL,55,715849.000,5819081.600,MGA94,-37.750000000,149.450000000,WGS84,1,NULL,NULL,N,N,0,1993-05-26,1996-03-13,221,NULL
221800,RAINGAUGE (GENOA RIVER) @ THE GORGE,RG @ THE GORGE,55,722715.000,5855916.400,NULL,-37.416666670,149.516666700,NULL,1,.000,1,N,N,0,1972-08-22,1992-10-01,221,.00000
221801,Raingauge @ Buldah,RG @ Buldah,55,690262.675,5873543.064,MGA94,-37.265260000,149.145700000,GDA94,NULL,.000,NULL,N,N,1,NULL,NULL,221,NULL
