OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITTYPE,ASSET_NAME,ASSET_ID,MATERIAL,TOTAL_VOLUME,USABLE_VOLUME,GAUGE_TWL,OVERFLOW_TWL,EASTING,NORTHING,FIELD_TEAM,CATCHMENT_ID,ASSET_OWNER,RAMSAR_CLASS,CONSERVATION_STATUS,WS_CONSTRUCTION_FILE,DATE_OF_CONSTRUCTION,EPMS_SEC_NO,ASCONST_PLAN_NO,SKETCH_PLAN_NO,SOURCE,DATE_CAPTURED,DATE_LAST_UPDATED,SERVICE_STATUS,SERVICE_STATUS_CHG_DATE,SERVICE_STATUS_PLAN_NO,COMMENTS,STArea__,STLength__,SHAPE_Length,SHAPE_Area
1,263774,10222564,WH050-WS-RES,RES,MAROONDAH RESERVOIR,H050,,0,28199,139.46,0,373337,5833749,MAROONDAH,,CVL,,,,1927/01/01 00:00:00,,MR010,WH050-1,,2011/10/17 00:00:00,2015/02/17 00:00:00,IN,,,,,,10964.0670788132,1989523.38544937
2,263773,10222563,WH040-WS-RES,RES,UPPER YARRA RESERVOIR,H040,,0,224985,366.63,0,403156,5829303,CIVIL MAINTENANCE,,CVL,,,505/006/5053,1957/01/01 00:00:00,,51-A-400,WH040-1,,2011/10/17 00:00:00,2014/12/06 00:00:00,IN,,,,,,43388.6579661485,7768880.42967649
3,263780,10206109,WH021-WS-RES,RES,TOOROURRONG RESERVOIR,H021,,0,300,227.85,0,336726,5850978,CIVIL MAINTENANCE,,CVL,,,,1885/01/01 00:00:00,,WH001/G/001,,,2011/10/17 00:00:00,2014/12/06 00:00:00,IN,,,,,,1748.31598231301,155914.329810571
4,263771,10222561,WH001-WS-RES,RES,SUGARLOAF RESERVOIR,H001,,0,99222,178,0,350801,5829382,MAROONDAH,,CVL,,,,1981/01/01 00:00:00,,SLR1-31-002,,,2011/10/17 00:00:00,2014/12/06 00:00:00,IN,,,,,,21831.041511375,4402085.36836733
5,263784,10218905,WH070-WS-RES,RES,GREENVALE RESERVOIR,H070,,0,27501,167.12,0,314894,5833520,PRESTON,,CVL,,,,1971/01/01 00:00:00,,GR/109,WH070,,2011/10/17 00:00:00,2014/12/06 00:00:00,IN,,,,,,8358.22681697833,1593200.37403031
6,263786,10219056,WH060-WS-RES,RES,CARDINIA RESERVOIR,H060,,0,286911,167.03,0,359093,5797633,SILVAN,,CVL,,,,1973/01/01 00:00:00,,CCR/201,WH60,,2011/10/17 00:00:00,2014/12/06 00:00:00,IN,,,,,,59572.5848855969,12426110.4845698
7,263772,10222562,WH030-WS-RES,RES,O'SHANNASSY RESERVOIR,H030,,0,3123,363.5,0,394701,5829803,CIVIL MAINTENANCE,,CVL,,,,1928/01/01 00:00:00,,WH030/C/058,WH030,,2011/10/17 00:00:00,2014/12/06 00:00:00,IN,,,,,,4622.09144887095,224268.521341596
8,263781,10167847,WH010-WS-RES,RES,SILVAN RESERVOIR,H010,,0,40581,246.5,0,360412,5810280,SILVAN,,CVL,,,,1932/01/01 00:00:00,,SR/001,WH010-1,,2011/10/17 00:00:00,2014/12/06 00:00:00,IN,,,,,,13329.7950618376,3260840.41606136
9,263785,10218468,WH020-WS-RES,RES,YAN YEAN RESERVOIR,H020,,0,33086,183.18,0,335916,5842078,CIVIL MAINTENANCE,,CVL,,,,1857/01/01 00:00:00,,YYR/35,WH020-1,,2011/10/17 00:00:00,2014/12/06 00:00:00,IN,,,,,,13750.1017854267,5303194.61945555
10,263787,10218201,WH120-WS-RES,RES,TARAGO RESERVOIR,H120,,0,37574,157.92,0,405333,5794156,TARAGO,,CVL,,,,1968/01/01 00:00:00,,118735,WH120-1,,2011/10/17 00:00:00,2014/12/06 00:00:00,IN,,,,,,30083.1201319883,3638839.49150553
11,263775,10167621,WH080-WS-RES,RES,THOMSON RESERVOIR,H080,,0,1123089,453.5,0,443449,5819688,CIVIL MAINTENANCE (T,,CVL,,,,1983/01/01 00:00:00,,TD-C-5020,WH80-1,,2011/10/17 00:00:00,2019/09/25 00:00:00,IN,,,,,,104864.950717518,21384067.0144953
