OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITTYPE,UNITTYPE_DESC,ASSET_NAME,ASSET_ID,SUBAREA,MATERIAL,NAT_TOP_WATER_LEVEL,WATERBODY_TYPE,EASTING,NORTHING,SUB_CATCHMENT_NBR,DATE_OF_HANDOVER,MANAGEMENT_AGREEMENT,RAMSAR_CLASS,CONSERVATION_STATUS,DATE_OF_CONSTRUCTION,ASSET_OWNER,EPMS_SEC_NO,ASCONST_PLAN_NO,METHOD_OF_CAPTURE,SOURCE,DATE_CAPTURED,DATE_LAST_UPDATED,SERVICE_STATUS,SERVICE_STATUS_CHG_DATE,SERVICE_STATUS_PLAN_NO,COMMENTS
1118775,210891,10054112,DWL036,WETLND,WETLAND,SOUTH HEATHERTON RD WETLAND,0209,0200,EARTH,24.9,CONST,344903.313,5795417.574,0209,,,,,2001/01/01 00:00:00+00,MW,0209/07,0209/07/001,DIGITISED,DESIGN,2004/02/23 00:00:00+00,2017/08/29 10:13:43+00,IN,,,
1118776,300981,0,DUL695A,POND,WATERWAY POND,DWARF GALAXIAS DROUGHT REFUGE HABITAT POND 1A,3460,3400,,,,333915,5761955,3460,,,,,,MW,,,,INDICATIVE,2019/08/22 12:59:40+00,2019/08/22 13:26:36+00,WIP,,,
1118777,300984,0,DUL695D,POND,WATERWAY POND,DWARF GALAXIAS DROUGHT REFUGE HABITAT POND 2D,3467,3400,,,,335164,5758584,3467,,,,,,MW,,,,INDICATIVE,2019/08/22 12:59:52+00,2019/08/22 13:26:38+00,WIP,,,
1118778,300985,0,DUL695E,POND,WATERWAY POND,DWARF GALAXIAS DROUGHT REFUGE HABITAT POND 2E,3467,3400,,,,335108,5758739,3467,,,,,,MW,,,,INDICATIVE,2019/08/22 12:59:55+00,2019/08/22 13:26:39+00,WIP,,,
1118779,1009274,0,DWL010D,WETLND,WETLAND,GREAVES ROAD RB WETLAND,0619,0600,,19.5,CONST,353263,5785721,0619,,Y,,,,MW,0619/17,0619/17/001,ORTHOPHOTOS,GRAPHICS,2017/06/21 15:10:14+00,2018/05/08 09:31:28+00,IN,,,
1118780,300986,0,DUL695F,POND,WATERWAY POND,DWARF GALAXIAS DROUGHT REFUGE HABITAT POND 2F,3460,3400,,,,334758,5759160,3465,,,,,,MW,,,,INDICATIVE,2019/08/22 12:59:59+00,2019/08/22 13:26:40+00,WIP,,,
1118781,300987,0,DUL695G,POND,WATERWAY POND,DWARF GALAXIAS DROUGHT REFUGE HABITAT POND 3A,3480,3400,,,,330999,5761770,3480,,,,,,MW,,,,INDICATIVE,2019/08/22 13:00:03+00,2019/08/22 13:26:41+00,WIP,,,
1118782,300988,0,DUL695H,POND,WATERWAY POND,DWARF GALAXIAS DROUGHT REFUGE HABITAT POND 5A,3420,3400,,,,334873,5769602,3420,,,,,,MW,,,,INDICATIVE,2019/08/22 13:00:07+00,2019/08/22 13:26:41+00,WIP,,,
1118783,300989,0,DUL695I,POND,WATERWAY POND,DWARF GALAXIAS DROUGHT REFUGE HABITAT POND 5B,3420,3400,,,,334834,5769659,3420,,,,,,MW,,,,INDICATIVE,2019/08/22 13:00:11+00,2019/08/22 13:26:42+00,WIP,,,
1118784,1017384,0,DWL663,WETLND,WETLAND,SERO WETLAND,DS90,SECT,,,CONST,340493,5785690,1218,,,,,2012/01/01 00:00:00+00,MW,,,ORTHOPHOTOS,GRAPHICS,2017/12/11 15:23:19+00,2018/07/20 14:36:17+00,IN,,,NO PLANS AVAILABLE
